id,subsystem,brand,model,technology,hs_code,country_of_manufacture,country_designed,confidence_tier,blue_uas_status,source_authority,source_url,source_status,price_usd,price_min,price_max,price_is_range,max_power_w,weight_g,wh_per_kg,capacity_mah,voltage,specs
ELEC-ADVANCEDNAVIGATION-BOREASD70-2026-07-02,electronics,Advanced Navigation,Boreas D70,GNSS_INS,,AUS,AUS,Tier 3 Inferred,none,vendor_marketing,https://www.advancednavigation.com/inertial-navigation-systems/fog-gnss-ins/boreas/,ok,,,,,,,,,,"{""power_w"": 12, ""weight_kg"": 2.8}"
ELEC-AEROVIRONMENT-CRYSALISCOMMANDGCS-2026-05-09,electronics,AeroVironment,Crysalis Command GCS,GROUND_CONTROL_STATION,852692,USA,USA,Tier 2 Triangulated,vendor_claimed,vendor_datasheet,https://www.avinc.com/images/uploads/product_docs/Crysalis_CommandGCS_Datasheet_07072021.pdf,dead,,,,False,,6490.0,,,,"{""control_range"": ""20 km"", ""setup_time"": ""15 min"", ""system_weight"": ""6.49 kg""}"
ELEC-AEROVIRONMENT-CRYSALISTACTICALGCS-2026-05-09,electronics,AeroVironment,Crysalis Tactical GCS,GROUND_CONTROL_STATION,852692,USA,USA,Tier 2 Triangulated,vendor_claimed,vendor_datasheet,https://www.avinc.com/images/uploads/product_docs/Crysalis_TacticalGCS_Datasheet_07072021.pdf,dead,,,,False,,3900.0,,,,"{""control_range"": ""20 km"", ""setup_time"": ""10 min"", ""system_weight"": ""3.9 kg""}"
ELEC-AEROVIRONMENT-CRYSALISULTRALIGHTGCS-2026-05-09,electronics,AeroVironment,Crysalis Ultralight GCS,GROUND_CONTROL_STATION,852692,USA,USA,Tier 2 Triangulated,vendor_claimed,vendor_datasheet,https://www.avinc.com/images/uploads/product_docs/Crysalis_UltralightGCS_Datasheet_07072021.pdf,dead,,,,False,,2100.0,,,,"{""control_range"": ""5 km"", ""setup_time"": ""5 min"", ""system_weight"": ""2.1 kg""}"
ELEC-AFRO-RACESPECMINIESCWITHBEC20A-2026-05-28,electronics,Afro,Race Spec Mini ESC with BEC 20A,ESC_BLDC,850440,CHN,HKG,Tier 0 Anchor,none,community_test_data,https://database.tytorobotics.com/escs/3wm/,ok,,,,False,,11.3,,,,"{""weight_g"": 11.3}"
ELEC-AIKON-AK32V335A4IN1-2026-05-09,electronics,Aikon,AK32 V3 35A 4in1,ESC_BLDC,853710,,CHN,Tier 3 Inferred,none,vendor_datasheet,https://pyrodrone.com/products/aikon-ak32-35a-4in1-32-bit-esc,ok,65.0,65.0,65.0,False,,15.0,,,,"{""burst_current_per_ch"": ""45 A"", ""continuous_current_per_ch"": ""35 A"", ""mcu"": ""STM32F051""}"
ELEC-AIKON-AK32V355A4IN1-2026-05-09,electronics,Aikon,AK32 V3 55A 4in1,ESC_BLDC,853710,,CHN,Tier 3 Inferred,none,vendor_datasheet,https://www.racedayquads.com/products/aikon-ak32-v3-55a-6s-30x30-4in1-esc,ok,90.0,90.0,90.0,False,,18.5,,,,"{""bec_output"": ""5V 2A"", ""burst_current_per_ch"": ""70 A"", ""continuous_current_per_ch"": ""55 A"", ""mcu"": ""STM32F051""}"
ELEC-AIKON-AK32PINV235A4IN1-2026-05-09,electronics,Aikon,AK32PIN V2 35A 4in1,ESC_BLDC,853710,,CHN,Tier 3 Inferred,none,vendor_datasheet,https://www.rcpapa.com/products/aikon-ak32pin-35a-6s-20x20-aio-4in1-esc-v2,ok,60.0,60.0,60.0,False,,10.0,,,,"{""burst_current_per_ch"": ""45 A"", ""continuous_current_per_ch"": ""35 A"", ""mcu"": ""STM32F051 variant""}"
ELEC-AIKON-AK32PROII50A4IN1-2026-05-09,electronics,Aikon,AK32PRO II 50A 4in1,ESC_BLDC,853710,,CHN,Tier 3 Inferred,none,vendor_datasheet,https://pyrodrone.com/products/aikon-ak32pro-ii-4in1-50a-6s-blheli32-esc-20x20mm,ok,91.0,91.0,91.0,False,,13.8,,,,"{""burst_current_per_ch"": ""65 A"", ""continuous_current_per_ch"": ""50 A"", ""mcu"": ""AT32F421""}"
ELEC-AINSTEIN-LRD1-2026-05-09,electronics,Ainstein,LR-D1,RADAR,852610,,USA,Tier 3 Inferred,vendor_claimed,vendor_datasheet,https://ainstein.ai,bot_blocked,5900.0,5900.0,5900.0,False,,300.0,,,,"{""max_range"": ""500 m"", ""max_speed"": ""200 m/s"", ""sensing_technology"": ""24 GHz FMCW Radar""}"
